Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
IC1,87.204mm,-80.788mm,Top,-90.000000,SOIC127P600X175-8N,MAX31855KASA+
IC2,72.918mm,-80.788mm,Top,-90.000000,SOIC127P600X175-8N,MAX31855KASA+
IC3,80.061mm,-80.788mm,Top,-90.000000,SOIC127P600X175-8N,MAX31855KASA+
IC4,65.776mm,-80.788mm,Top,-90.000000,SOIC127P600X175-8N,MAX31855KASA+
IC5,95.831mm,-94.750mm,Top,180.000000,QFP50P1200X1200X160-64N,STM32G474RBT6
IC6,56.069mm,-102.700mm,Top,0.000000,LD1117S33C,LD1117S33C
J1,152.819mm,-55.000mm,Top,180.000000,MX23A12NF1,MX23A12NF1
J2,119.569mm,-55.000mm,Top,180.000000,MX23A12NF1,MX23A12NF1
J3,84.569mm,-69.500mm,Top,180.000000,17762661,1-776266-1
J4,149.000mm,-111.200mm,Top,-90.000000,PinHeader_1x06_P2.54mm_Vertical,Conn_01x06_Pin
JP1,78.500mm,-94.500mm,Top,90.000000,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,Jumper_NO_Small
JP2,121.919mm,-109.500mm,Top,180.000000,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,Jumper_NO_Small
L1,108.500mm,-99.500mm,Top,0.000000,L_0603_1608Metric,BLM18AG601SN1
L2,110.000mm,-116.000mm,Top,90.000000,L_1210_3225Metric,10uH/1A
L3,95.000mm,-77.500mm,Top,90.000000,L_Bourns_SRN6045TA,10uH/1.8A
Q1,139.000mm,-98.000mm,Top,90.000000,TO-263-2,SQM120N06-3M5L
R5,61.500mm,-115.500mm,Top,90.000000,R_0805_2012Metric,0R
R6,57.500mm,-116.500mm,Top,0.000000,R_0805_2012Metric,0R
R7,54.000mm,-95.000mm,Top,90.000000,R_0805_2012Metric,10k
R8,54.500mm,-111.000mm,Top,90.000000,R_0805_2012Metric,10k
R9,131.500mm,-116.500mm,Top,90.000000,R_0805_2012Metric,10k
R10,53.500mm,-116.500mm,Top,90.000000,R_0805_2012Metric,10k
R15,58.000mm,-112.500mm,Top,90.000000,R_0805_2012Metric,0R
R16,139.500mm,-116.500mm,Top,90.000000,R_0805_2012Metric,0R
R17,53.500mm,-90.000mm,Top,90.000000,R_0805_2012Metric,10k
R18,143.500mm,-115.500mm,Top,0.000000,R_0805_2012Metric,10k
R19,135.500mm,-115.500mm,Top,0.000000,R_0805_2012Metric,10k
R20,147.500mm,-116.500mm,Top,90.000000,R_0805_2012Metric,10k
R21,131.639mm,-77.600mm,Top,0.000000,R_0805_2012Metric,1k
R22,119.569mm,-75.412mm,Top,-90.000000,R_0805_2012Metric,1k
R23,131.644mm,-81.500mm,Top,0.000000,RESC2012X60N,2k
R24,117.489mm,-78.950mm,Top,90.000000,RESC2012X60N,2k
R25,131.639mm,-79.500mm,Top,180.000000,R_0805_2012Metric,1k
R26,119.569mm,-78.945mm,Top,-90.000000,R_0805_2012Metric,1k
R27,123.157mm,-79.500mm,Top,180.000000,R_0805_2012Metric,1k
R28,106.069mm,-76.430mm,Top,90.000000,R_0805_2012Metric,1k
R29,123.157mm,-75.500mm,Top,180.000000,R_0805_2012Metric,1k
R30,108.069mm,-76.425mm,Top,90.000000,RESC2012X60N,2k
R31,110.069mm,-76.430mm,Top,-90.000000,R_0805_2012Metric,1k
R32,149.069mm,-75.963mm,Top,-90.000000,R_1206_3216Metric,10k
R33,114.000mm,-96.500mm,Top,0.000000,R_0805_2012Metric,1k
R34,127.639mm,-75.571mm,Top,0.000000,R_0805_2012Metric,1k
R35,135.999mm,-77.500mm,Top,0.000000,R_0805_2012Metric,1k
