Reference,Qty,Value,Description,Package,Manufacturer,MPN,Supplier,Supplier PN,Product link,DNP,Notes
"C66,C59",2,100nF/25V,Kondensator 100nF/25V X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,https://www.digikey.de/de/products/result?keywords=311-1140-1-ND,,
C71,1,10uF/50V X7R,Kondensator 10µF X7R 50V ±10% 1210,1210,TDK,C3225X7R1H106K250AC,DigiKey,445-C3225X7R1H106K250ACCT-ND,https://www.digikey.de/de/products/result?keywords=445-C3225X7R1H106K250ACCT-ND,,
"C72,C70",2,47uF/10V X7R,Kondensator 47µF X5R 16V ±10% 1210,1210,Samsung Electro-Mechanics,CL32A476KOJNNNE,DigiKey,1276-3376-1-ND,https://www.digikey.de/de/products/result?keywords=1276-3376-1-ND,,
"C78,C80,C76",3,CC0805KRX7R9BB104,Kondensator CC0805KRX7R9BB104 X7R 50V ±10% 0805,0805,Yageo,CC0805KRX7R9BB104,DigiKey,311-1140-1-ND,https://www.digikey.de/de/products/result?keywords=311-1140-1-ND,,
C79,1,CC0805KKX7R7BB475,Kondensator CC0805KKX7R7BB475 X7R 16V ±10% 0805,0805,Yageo,CC0805KKX7R7BB475,DigiKey,311-1883-1-ND,https://www.digikey.de/de/products/result?keywords=311-1883-1-ND,,
"C82,C81",2,CC0805JRX7R9BB332,Kondensator CC0805JRX7R9BB332 X7R 50V ±5% 0805,0805,Yageo,CC0805JRX7R9BB332,DigiKey,311-4277-1-ND,https://www.digikey.de/de/products/result?keywords=311-4277-1-ND,,
D1,1,D_Schottky,Schottky 2A 40V PowerDI-123,PowerDI-123,Diodes Incorporated,DFLS240-7,DigiKey,DFLS240-7DICT-ND,https://www.digikey.de/de/products/result?keywords=DFLS240-7DICT-ND,,
D2,1,SMAJ5.0A,TVS 5V unidirektional 400W SMA,SMA,Littelfuse,SMAJ5.0A,DigiKey,SMAJ5.0ALFCT-ND,https://www.digikey.de/de/products/result?keywords=SMAJ5.0ALFCT-ND,,
D3,1,NUP2105L,CAN-ESD-Schutz NUP2105L SOT-23,SOT-23,onsemi,NUP2105LT1G,DigiKey,NUP2105LT1GOSCT-ND,https://www.digikey.de/de/products/result?keywords=NUP2105LT1GOSCT-ND,,
"D11,D12,D10,D13",4,D,Schaltdiode 1N4448WX SOD-323,SOD-323,MCC,1N4448WX-TP,DigiKey,1N4448WXTPMSCT-ND,https://www.digikey.de/de/products/result?keywords=1N4448WXTPMSCT-ND,,
"D15,D8,D14,D9",4,LED,LED rot 0805,0805,Lite-On,LTST-C170KRKT,DigiKey,160-1415-1-ND,https://www.digikey.de/de/products/result?keywords=160-1415-1-ND,,
D22,1,3V6 1W (SMA),Z-Diode 3.6V 1.5W SMA,SMA,onsemi,1SMA5914BT3G,DigiKey,1SMA5914BT3GOSCT-ND,https://www.digikey.de/de/products/result?keywords=1SMA5914BT3GOSCT-ND,,
"D30,D27,D26,D28,D29,D7,D4,D5,D6,D20,D19,D25,D24,D23,D17,D16,D18,D21,D46,D47",20,BAV199,Doppel-Klemmdiode BAV199 SOT-23,SOT-23,onsemi,BAV199LT1G,DigiKey,BAV199LT1GOSCT-ND,https://www.digikey.de/de/products/result?keywords=BAV199LT1GOSCT-ND,,
"D31,D35,D40,D34,D36,D32,D33,D39",8,SS34,Schottky 3A 40V SMA,SMA,Diodes Incorporated,B340A-13-F,DigiKey,B340A-FDICT-ND,https://www.digikey.de/de/products/result?keywords=B340A-FDICT-ND,,Ersatz fuer SS34: 3A/40V Schottky in SMA (SS34 meist SMC)
"D38,D37",2,1N4148W,Schaltdiode 1N4148W SOD-123,SOD-123,Diodes Incorporated,1N4148W-7-F,DigiKey,1N4148W-FDICT-ND,https://www.digikey.de/de/products/result?keywords=1N4148W-FDICT-ND,,
D41,1,SM8S24A,TVS 24V 6600W Load-Dump DO-218AB,DO-218AB,SMC Diode Solutions,SM8S24A,DigiKey,1655-SM8S24ACT-ND,https://www.digikey.de/de/products/result?keywords=1655-SM8S24ACT-ND,,
D42,1,B560C,Schottky 5A 60V SMC,SMC,Diodes Incorporated,B560C-13-F,DigiKey,B560C-FDICT-ND,https://www.digikey.de/de/products/result?keywords=B560C-FDICT-ND,,
"D43,D44,D45",3,LED grn,LED grün 0805,0805,Lite-On,LTST-C170GKT,DigiKey,160-1179-1-ND,https://www.digikey.de/de/products/result?keywords=160-1179-1-ND,,
F1,1,150mA,PTC-Sicherung 140mA hold 60V 1812,1812,Littelfuse,1812L014DR,DigiKey,F3353CT-ND,https://www.digikey.de/de/products/result?keywords=F3353CT-ND,,"PTC 140mA hold (naechster Standardwert zu 150mA), 60V"
F2,1,3A / 63V,Sicherung 3A 65V flink 1206,1206,Littelfuse,0483003.DR,DigiKey,18-0483003.DRCT-ND,https://www.digikey.de/de/products/result?keywords=18-0483003.DRCT-ND,,3A/65V flink 1206 (63V-Anforderung: 437er-Serie schafft nur 35V)
IC1,1,MAX9926UAEE_V+,MAX9926UAEE_V+,QSOP-16_3.9x4.9mm_P0.635mm,Analog Devices,MAX9926UAEE/V+,DigiKey,MAX9926UAEE/V+-ND,https://www.digikey.de/de/products/result?keywords=MAX9926UAEE/V+-ND,,
"IC3,IC4,IC2",3,ZXMS6006DT8,ZXMS6006DT8,SOT153P700X170-8N,Diodes Incorporated,ZXMS6006DT8TA,DigiKey,ZXMS6006DT8TADICT-ND,https://www.digikey.de/de/products/result?keywords=ZXMS6006DT8TADICT-ND,,Last Time Buy 06.01.2027 - Bedarf sichern
IC5,1,LD1117S33,LD1117S33,SOT-223-3_TabPin2,STMicroelectronics,LD1117S33CTR,DigiKey,497-1241-1-ND,https://www.digikey.de/de/products/result?keywords=497-1241-1-ND,,
IC6,1,74AHCT125T14-13,74AHCT125T14-13,TSSOP-14_4.4x5mm_P0.65mm,Diodes Incorporated,74AHCT125T14-13,DigiKey,31-74AHCT125T14-13CT-ND,https://www.digikey.de/de/products/result?keywords=31-74AHCT125T14-13CT-ND,,
IC7,1,TPIC8101DW,TPIC8101DW,SOIC-20W_7.5x12.8mm_P1.27mm,Texas Instruments,TPIC8101DWR,DigiKey,296-15132-1-ND,https://www.digikey.de/de/products/result?keywords=296-15132-1-ND,,
