Reference,Qty,Value,Description,Package,Manufacturer,MPN,Supplier,Supplier PN,Product link,DNP,Notes
J3,1,1-776266-1,1-776266-1,17762661,TE Connectivity,1-776266-1,DigiKey,A128219-ND,https://www.digikey.de/de/products/result?keywords=A128219-ND,,AMPSEAL 14-pol; Gegenstecker+Kontakte separat beschaffen
J4,1,Conn_01x06_Pin,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,Würth Elektronik,61300611121,DigiKey,732-5319-ND,https://www.digikey.de/de/products/result?keywords=732-5319-ND,,
L1,1,BLM18AG601SN1,Ferrit 600Ω@100MHz 0603,0603,Murata,BLM18AG601SN1D,DigiKey,490-1014-1-ND,https://www.digikey.de/de/products/result?keywords=490-1014-1-ND,,
L2,1,10uH/1A,Drossel 10µH 1A 1210,1210,Murata,LQH32PN100MNCL,DigiKey,490-LQH32PN100MNCLCT-ND,https://www.digikey.de/de/products/result?keywords=490-LQH32PN100MNCLCT-ND,,Irms 900mA / Isat 1A
L3,1,10uH/1.8A,Speicherdrossel 10µH 1.8A 6x6mm geschirmt,Bourns_SRN6045TA,Bourns,SRN6045TA-100M,DigiKey,SRN6045TA-100MCT-ND,https://www.digikey.de/de/products/result?keywords=SRN6045TA-100MCT-ND,,
Q1,1,SQM120N06-3M5L,SQM120N06-3M5L,TO-263-2,Vishay Siliconix,SQM120N06-3M5L_GE3,DigiKey,SQM120N06-3M5L_GE3CT-ND,https://www.digikey.de/de/products/result?keywords=SQM120N06-3M5L_GE3CT-ND,,Ersatz: IPB80N06S4L-07 discontinued (Infineon PCN 2023)
"R1,R4,R12,R14,R13,R11,R3,R2",8,100R,Widerstand 100RΩ ±1% 0.125W 0805,ERJ6ENF1000V,Panasonic,ERJ-6ENF1000V,DigiKey,P100CCT-ND,https://www.digikey.de/de/products/result?keywords=P100CCT-ND,,
"R24,R23,R30",3,2k,Widerstand 2k ±1% 0.125W 0805,RESC2012X60N,Yageo,RC0805FR-072KL,DigiKey,311-2.00KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-2.00KCRCT-ND,,
"R32,R38,R40",3,10k,Widerstand 10k ±1% 0.25W 1206 AEC-Q200,1206,Yageo,RC1206FR-7W10KL,DigiKey,13-RC1206FR-7W10KLTR-ND,https://www.digikey.de/de/products/result?keywords=13-RC1206FR-7W10KLTR-ND,,
R41,1,100,Widerstand 100Ω ±1% 0.125W 0805,ERJ6ENF1000V,Panasonic,ERJ-6ENF1000V,DigiKey,P100CCT-ND,https://www.digikey.de/de/products/result?keywords=P100CCT-ND,,
"R42,R50,R7,R20,R17,R19,R8,R10,R9,R18",10,10k,Widerstand 10k ±1% 0.125W 0805,0805,Yageo,RC0805FR-0710KL,DigiKey,311-10.0KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-10.0KCRCT-ND,,
R43,1,15k,Widerstand 15k ±1% 0.125W 0805,0805,Yageo,RC0805FR-0715KL,DigiKey,311-15.0KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-15.0KCRCT-ND,,
"R44,R33,R37,R29,R22,R25,R36,R35,R26,R34,R31,R28,R21,R39,R27",15,1k,Widerstand 1k ±1% 0.125W 0805,0805,Yageo,RC0805FR-071KL,DigiKey,311-1.00KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-1.00KCRCT-ND,,
R45,1,10k,Widerstand 10k ±5% 0.125W 0805,0805,Yageo,RC0805JR-0710KL,DigiKey,311-10KARCT-ND,https://www.digikey.de/de/products/result?keywords=311-10KARCT-ND,,
"R47,R46",2,60R4,Widerstand 60R4 ±1% 0.125W 0805,0805,Yageo,RC0805FR-0760R4L,DigiKey,311-60.4CRCT-ND,https://www.digikey.de/de/products/result?keywords=311-60.4CRCT-ND,,
"R48,R6,R15,R16,R5",5,0R,Widerstand 0R ±5% 0.125W 0805,0805,Yageo,RC0805JR-070RL,DigiKey,311-0.0ARCT-ND,https://www.digikey.de/de/products/result?keywords=311-0.0ARCT-ND,,
R49,1,40k2,Widerstand 40k2 ±1% 0.125W 0805,0805,Yageo,RC0805FR-0740K2L,DigiKey,311-40.2KCRCT-ND,https://www.digikey.de/de/products/result?keywords=311-40.2KCRCT-ND,,
U1,1,SP720,SP720,SOIC-16_3.9x9.9mm_P1.27mm,Littelfuse,SP720ABTG,DigiKey,F3162CT-ND,https://www.digikey.de/de/products/result?keywords=F3162CT-ND,,
U2,1,CSTNE16M0V530000R0,CSTNE16M0V530000R0,CSTNE16M0V530000R0,Murata,CSTNE16M0V530000R0,DigiKey,490-17948-1-ND,https://www.digikey.de/de/products/result?keywords=490-17948-1-ND,,
U3,1,MCP2562FD-E/SN,MCP2562FD-E/SN,SOIC-8_3.9x4.9mm_P1.27mm,Microchip Technology,MCP2562FD-E/SN,DigiKey,MCP2562FD-E/SN-ND,https://www.digikey.de/de/products/result?keywords=MCP2562FD-E/SN-ND,,
U4,1,TPS560430Y-Q1,TPS560430Y-Q1,SOT-23-6,Texas Instruments,TPS560430YQDBVRQ1,DigiKey,296-TPS560430YQDBVRQ1CT-ND,https://www.digikey.de/de/products/result?keywords=296-TPS560430YQDBVRQ1CT-ND,,X-Q1-Variante existiert nicht; Y=2.1MHz passt zu 10uH-Spule
