Reference,Qty,Value,Footprint,MPN,Manufacturer,DigiKey,DK_Stock,Mouser,MO_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
L2,1,10uH/1A,1210,LQH32PN100MNCL,Murata,490-LQH32PN100MNCLCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=490-LQH32PN100MNCLCT-ND,,,Irms 900mA / Isat 1A
L3,1,10uH/1.8A,Bourns_SRN6045TA,SRN6045TA-100M,Bourns,SRN6045TA-100MCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=SRN6045TA-100MCT-ND,,,
Q1,1,SQM120N06-3M5L,TO-263-2,SQM120N06-3M5L_GE3,Vishay Siliconix,SQM120N06-3M5L_GE3CT-ND,,942-IRLB8721PBF,,DigiKey,http://uk.rs-online.com/web/p/products/7259322,,,Ersatz: IPB80N06S4L-07 discontinued (Infineon PCN 2023)
"R1,R4,R12,R14,R13,R11,R3,R2",8,100R,ERJ6ENF1000V,ERJ-6ENF1000V,Panasonic,P100CCT-ND,,,,DigiKey,http://docs-europe.electrocomponents.com/webdocs/13ba/0900766b813ba21b.pdf,,,
"R24,R23,R30",3,2k,RESC2012X60N,RC0805FR-072KL,Yageo,311-2.00KCRCT-ND,,603-RC0805FR-072KL,,DigiKey,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_10.pdf,,,
"R32,R38,R40",3,10k,1206,RC1206FR-7W10KL,Yageo,13-RC1206FR-7W10KLTR-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=13-RC1206FR-7W10KLTR-ND,,,
R41,1,100,ERJ6ENF1000V,ERJ-6ENF1000V,Panasonic,P100CCT-ND,,,,DigiKey,http://docs-europe.electrocomponents.com/webdocs/13ba/0900766b813ba21b.pdf,,,
"R42,R50,R7,R20,R17,R19,R8,R10,R9,R18",10,10k,0805,RC0805FR-0710KL,Yageo,311-10.0KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-10.0KCRCT-ND,,,
R43,1,15k,0805,RC0805FR-0715KL,Yageo,311-15.0KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-15.0KCRCT-ND,,,
"R44,R33,R37,R29,R22,R25,R36,R35,R26,R34,R31,R28,R21,R39,R27",15,1k,0805,RC0805FR-071KL,Yageo,311-1.00KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1.00KCRCT-ND,,,
R45,1,10k,0805,RC0805JR-0710KL,Yageo,311-10KARCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-10KARCT-ND,,,
"R47,R46",2,60R4,0805,RC0805FR-0760R4L,Yageo,311-60.4CRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-60.4CRCT-ND,,,
"R48,R6,R15,R16,R5",5,0R,0805,RC0805JR-070RL,Yageo,311-0.0ARCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-0.0ARCT-ND,,,
R49,1,40k2,0805,RC0805FR-0740K2L,Yageo,311-40.2KCRCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-40.2KCRCT-ND,,,
U1,1,SP720,SOIC-16_3.9x9.9mm_P1.27mm,SP720ABTG,Littelfuse,F3162CT-ND,,,,DigiKey,https://m.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp720_datasheet.pdf.pdf,,,
U2,1,CSTNE16M0V530000R0,CSTNE16M0V530000R0,CSTNE16M0V530000R0,Murata,490-17948-1-ND,,81-CSTNE16M0V530000R,,DigiKey,https://www.murata.com/products/productdata/8801160822814/SPEC-CSTNE16M0V530000R0.pdf,,,
U3,1,MCP2562FD-E/SN,SOIC-8_3.9x4.9mm_P1.27mm,MCP2562FD-E/SN,Microchip Technology,MCP2562FD-E/SN-ND,,,,DigiKey,http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf,,,
U4,1,TPS560430Y-Q1,SOT-23-6,TPS560430YQDBVRQ1,Texas Instruments,296-TPS560430YQDBVRQ1CT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=296-TPS560430YQDBVRQ1CT-ND,,,X-Q1-Variante existiert nicht; Y=2.1MHz passt zu 10uH-Spule
