Reference,Qty,Value,Footprint,MPN,Manufacturer,DigiKey,DK_Stock,Mouser,MO_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
C79,1,CC0805KKX7R7BB475,0805,CC0805KKX7R7BB475,Yageo,311-1883-1-ND,,603-CC805KKX7R7BB475,,DigiKey,https://www.digikey.de/de/products/result?keywords=311-1883-1-ND,,,
"C82,C81",2,CC0805JRX7R9BB332,0805,CC0805JRX7R9BB332,Yageo,311-4277-1-ND,,,,DigiKey,https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V,,,
D1,1,D_Schottky,PowerDI-123,DFLS240-7,Diodes Incorporated,DFLS240-7DICT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=DFLS240-7DICT-ND,,,
D2,1,SMAJ5.0A,SMA,SMAJ5.0A,Littelfuse,SMAJ5.0ALFCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=SMAJ5.0ALFCT-ND,,,
D3,1,NUP2105L,SOT-23,NUP2105LT1G,onsemi,NUP2105LT1GOSCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=NUP2105LT1GOSCT-ND,,,
"D11,D12,D10,D13",4,D,SOD-323,1N4448WX-TP,MCC,1N4448WXTPMSCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=1N4448WXTPMSCT-ND,,,
"D15,D8,D14,D9",4,LED,0805,LTST-C170KRKT,Lite-On,160-1415-1-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=160-1415-1-ND,,,
D22,1,3V6 1W (SMA),SMA,1SMA5914BT3G,onsemi,1SMA5914BT3GOSCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=1SMA5914BT3GOSCT-ND,,,
"D30,D27,D26,D28,D29,D7,D4,D5,D6,D20,D19,D25,D24,D23,D17,D16,D18,D21,D46,D47",20,BAV199,SOT-23,BAV199LT1G,onsemi,BAV199LT1GOSCT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=BAV199LT1GOSCT-ND,,,
"D31,D35,D40,D34,D36,D32,D33,D39",8,SS34,SMA,B340A-13-F,Diodes Incorporated,B340A-FDICT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=B340A-FDICT-ND,,,Ersatz fuer SS34: 3A/40V Schottky in SMA (SS34 meist SMC)
"D38,D37",2,1N4148W,SOD-123,1N4148W-7-F,Diodes Incorporated,1N4148W-FDICT-ND,,,,DigiKey,https://www.digikey.de/de/products/result?keywords=1N4148W-FDICT-ND,,,
