Ref,Val,Package,PosX,PosY,Rot,Side
"IC5","STM32G474RBT6","QFP50P1200X1200X160-64N",95.831200,-94.750000,180.000000,top
"IC6","LD1117S33C","LD1117S33C",56.069200,-102.700000,0.000000,top
"J1","MX23A12NF1","MX23A12NF1",152.819200,-55.000000,180.000000,top
"J2","MX23A12NF1","MX23A12NF1",119.569200,-55.000000,180.000000,top
"J3","1-776266-1","17762661",84.569200,-69.500000,180.000000,top
"J4","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",149.000000,-111.200000,-90.000000,top
"L1","BLM18AG601SN1","L_0603_1608Metric",108.500000,-99.500000,0.000000,top
"L2","10uH/1A","L_1210_3225Metric",110.000000,-116.000000,90.000000,top
"L3","10uH/1.8A","L_Bourns_SRN6045TA",95.000000,-77.500000,90.000000,top
"Q1","SQM120N06-3M5L","TO-263-2",139.000000,-98.000000,90.000000,top
"R5","0R","R_0805_2012Metric",61.500000,-115.500000,90.000000,top
"R6","0R","R_0805_2012Metric",57.500000,-116.500000,0.000000,top
"R9","10k","R_0805_2012Metric",131.500000,-116.500000,90.000000,top
"R10","10k","R_0805_2012Metric",53.500000,-116.500000,90.000000,top
"R15","0R","R_0805_2012Metric",58.000000,-112.500000,90.000000,top
"R16","0R","R_0805_2012Metric",139.500000,-116.500000,90.000000,top
"R19","10k","R_0805_2012Metric",135.500000,-115.500000,0.000000,top
"R20","10k","R_0805_2012Metric",147.500000,-116.500000,90.000000,top
"R21","1k","R_0805_2012Metric",131.639200,-77.600000,0.000000,top
"R22","1k","R_0805_2012Metric",119.569200,-75.412500,-90.000000,top
"R23","2k","RESC2012X60N",131.644200,-81.500000,0.000000,top
"R24","2k","RESC2012X60N",117.489200,-78.950000,90.000000,top
"R25","1k","R_0805_2012Metric",131.639200,-79.500000,180.000000,top
"R26","1k","R_0805_2012Metric",119.569200,-78.945000,-90.000000,top
"R27","1k","R_0805_2012Metric",123.156700,-79.500000,180.000000,top
"R28","1k","R_0805_2012Metric",106.069200,-76.430000,90.000000,top
"R29","1k","R_0805_2012Metric",123.156700,-75.500000,180.000000,top
"R30","2k","RESC2012X60N",108.069200,-76.425000,90.000000,top
"R31","1k","R_0805_2012Metric",110.069200,-76.430000,-90.000000,top
"R32","10k","R_1206_3216Metric",149.069200,-75.962500,-90.000000,top
"R33","1k","R_0805_2012Metric",114.000000,-96.500000,0.000000,top
"R34","1k","R_0805_2012Metric",127.639300,-75.571200,0.000000,top
"R35","1k","R_0805_2012Metric",135.999200,-77.500000,0.000000,top
"R36","1k","R_0805_2012Metric",127.639300,-77.571200,0.000000,top
"R37","1k","R_0805_2012Metric",135.999200,-79.500000,0.000000,top
"R38","10k","R_1206_3216Metric",156.569200,-76.962500,-90.000000,top
"R39","1k","R_0805_2012Metric",100.000000,-76.500000,90.000000,top
"R40","10k","R_1206_3216Metric",93.531700,-83.000000,180.000000,top
"R41","100","ERJ6ENF1000V",103.069200,-83.500000,-90.000000,top
"R42","10k","R_0805_2012Metric",158.000000,-102.500000,0.000000,top
"R43","15k","R_0805_2012Metric",156.000000,-87.500000,90.000000,top
"R44","1k","R_0805_2012Metric",156.000000,-98.500000,90.000000,top
"R46","60R4","R_0805_2012Metric",156.000000,-109.500000,90.000000,top
"R47","60R4","R_0805_2012Metric",162.500000,-75.000000,0.000000,top
"R48","0R","R_0805_2012Metric",118.069200,-99.500000,0.000000,top
"R49","40k2","R_0805_2012Metric",156.000000,-82.000000,90.000000,top
"R50","10k","R_0805_2012Metric",151.500000,-115.500000,0.000000,top
"U1","SP720","SOIC-16_3.9x9.9mm_P1.27mm",121.000000,-90.500000,90.000000,top
"U2","CSTNE16M0V530000R0","CSTNE16M0V530000R0",108.781200,-95.587000,180.000000,top
"U3","MCP2562FD-E/SN","SOIC-8_3.9x4.9mm_P1.27mm",116.069200,-103.500000,0.000000,top
"U4","TPS560430Y-Q1","SOT-23-6",113.500000,-76.000000,-90.000000,top
