"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
87;"R126, R131, R132";"R_0805_2012Metric";3;"RC0805FR-071ML";;;
88;"R127, R128, R129, R130";"R_0805_2012Metric";4;"RC0805FR-07100KL";;;
89;"U2";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q32JVSS";;;
90;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2562-E-SN";;;
91;"U4";"SOT-353_SC-70-5";1;"74AHC1G32";;;
92;"U5";"LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y";1;"ADXL343";;;
93;"U6";"SOT-23-6";1;"USBLC6-2SC6";;;
94;"U8";"SOT-23-5";1;"TPS3823-33DBV";;;
95;"U9";"SOT-353_SC-70-5";1;"74LVC1G00";;;
96;"U10, U11";"SOIC-14_3.9x8.7mm_P1.27mm";2;"LMV324";;;
97;"U12";"HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias";1;"DRV8434A";;;
98;"U13, U14";"TO-252-5_TabPin3";2;"BTF3050TE";;;
99;"U15";"SOT-23-6";1;"LM74700-Q1";;;
100;"U16";"HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias";1;"TPS54360B-Q1";;;
101;"U17";"SOT-223-3_TabPin2";1;"TPS7B6950-Q1";;;
102;"U18";"SOT-353_SC-70-5";1;"74LVC1G125";;;
103;"Y1";"Resonator_SMD_Murata_CSTCR_4.5x2x1.15mm";1;"CSTCR4M00G53-R0";;;
