"Source:","C:\Users\kevin_mueller\Privat\Hayabusa\Hardware\ECU\ECU.kicad_sch"
"Date:","2025-05-27T14:15:52+0200"
"Tool:","Eeschema 9.0.0"
"Generator:","C:\Users\kevin_mueller\Privat\KiCadPortable\App\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","161"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Allied_Number","Arrow Part Number","Arrow Price/Stock","Datasheet","Description","Digikey Part Number","Footprint","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock","Sim.Device","Sim.Library","Sim.Pins","Tolerance","URL","Voltage"
"17","10","D9, D11, D13, D15, D25, D26, D28, D29, D30, D31","D","Device:D","Diode_SMD:D_SOD-323","~","","","","","~","Diode","1N4448WXTPMSCT-ND","Diode_SMD:D_SOD-323","","MCC","1N4448WX-TP","","","","","","","","","https://www.digikey.com/product-detail/en/micro-commercial-co/1N4448WX-TP/1N4448WXTPMSCT-ND/789338",""
"18","2","D27, D37","D_Schottky","Device:D_Schottky","Diode_SMD:D_PowerDI-123","~","","","","","~","Schottky diode","DFLS2100-7DICT-ND","Diode_SMD:D_PowerDI-123","","Diodes Inc.","DFLS2100-7","","","","","","","","","https://www.digikey.com/product-detail/en/diodes-incorporated/DFLS2100-7/DFLS2100-7DICT-ND/3451552",""
"19","1","D32","D_TVS","Device:D_Zener","Diode_SMD:D_SMB","~","","","","","~","Zener diode","SMBJ40A-QCT-ND","Diode_SMD:D_SMB","","Bournes Inc.","SMBJ40A-Q","","","","","","","","","https://www.digikey.com.au/product-detail/en/bourns-inc/SMBJ40A-Q/SMBJ40A-QCT-ND/10222718",""
"20","1","D33","D_Schottky","Device:D_Schottky","Diode_SMD:D_SMA_Handsoldering","~","","","","","~","Schottky diode","B360A-FDICT-ND","Diode_SMD:D_SMA_Handsoldering","","Diodes Inc","B360A-13-F","","","","","","","","","https://www.digikey.com.au/product-detail/en/diodes-incorporated/B360A-13-F/B360A-FDICT-ND/724980",""
"21","3","D34, D35, D36","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","~","Light emitting diode","475-1410-2-ND","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","OSRAM","LG R971-KN-1","","","","","","","","","https://www.digikey.com/en/products/detail/osram-opto-semiconductors-inc/LG-R971-KN-1/1227925",""
"22","1","F1","Polyfuse","Device:Polyfuse","Fuse:Fuse_1812_4532Metric","~","","","","","~","Resettable fuse, polymeric positive temperature coefficient","507-1361-1-ND","Fuse:Fuse_1812_4532Metric","","Bel Fuse Inc.","0ZCC0050FF2C","","","","","","","","","https://www.digikey.com.au/product-detail/en/bel-fuse-inc/0ZCC0050FF2C/507-1361-1-ND/1560228",""
"23","1","F2","Polyfuse","Device:Fuse","Fuse:Fuse_0603_1608Metric","~","","","","","~","Fuse","507-1817-1-ND","Fuse:Fuse_0603_1608Metric","","Bel Fuse Inc.","0ZCM0008FF2G","","","","","","","","","https://www.digikey.com.au/product-detail/en/bel-fuse-inc/0ZCM0008FF2G/507-1817-1-ND/4156262",""
"24","1","IC1","MAX9926UAEE_V+","IC_Automotive:MAX9926UAEE_V+","Package_SO:QSOP-16_3.9x4.9mm_P0.635mm","https://componentsearchengine.com/Datasheets/1/MAX9926UAEE_V+.pdf","","","","","https://componentsearchengine.com/Datasheets/1/MAX9926UAEE_V+.pdf","Sensor Interface Variable-Reluctance Sensor Interface","MAX9926UAEE/V+-ND","Package_SO:QSOP-16_3.9x4.9mm_P0.635mm","1.75","Maxim Integrated","MAX9926UAEE/V+","700-MAX9926UAEE/V+","https://www.mouser.com/Search/Refine.aspx?Keyword=700-MAX9926UAEE%2FV%2B","","","","","","","https://www.digikey.com.au/product-detail/en/maxim-integrated/MAX9926UAEE-V/MAX9926UAEE-V-ND/3517309",""
"25","3","IC2, IC3, IC4","ZXMS6006DT8","IC_Automotive:ZXMS6006DT8","ZXMS6006DT8TA:SOT153P700X170-8N","","","","","","","Diodes Inc dual self protected low side MOSFET","ZXMS6006DT8TADICT-ND","ZXMS6006DT8TA:SOT153P700X170-8N","1.75","Diodes Inc","ZXMS6006DT8","","","","","","","","","https://www.digikey.com.au/en/products/detail/diodes-incorporated/ZXMS6006DT8TA/4250146?s=N4IgTCBcDaIFoA0CyBlAbABg2gIgFQA4QBdAXyA",""
"26","1","J1","Conn_01x04","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","~","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","","","","","","","","","","",""
"27","1","J5","~","connector:6437288-3","connector:6437288-3","","","","","","","BL","","connector:6437288-3","","","","","","","","","","","","",""
"28","3","JP2, JP3, JP4","Jumper_2_Open","Jumper:Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~","","","","","~","Jumper, 2-pole, open","","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","","","","","","","","","","","","",""
"29","2","Q1, Q2","Q_DUAL_NMOS_S1G1D2S2G2D1","Device:Q_DUAL_NMOS_S1G1D2S2G2D1","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.onsemi.com/pub/Collateral/NTJD5121N-D.PDF","","","","","https://www.onsemi.com/pub/Collateral/NTJD5121N-D.PDF","","NVJD5121NT1GOSCT-ND","Package_TO_SOT_SMD:SOT-363_SC-70-6","","ON Semi","NVJD5121NT1G","","","","","","","","","https://www.digikey.com.au/product-detail/en/on-semiconductor/NVJD5121NT1G/NVJD5121NT1GOSCT-ND/9087601",""
"30","1","Q3","Q_PNP_BCEC","Device:Q_PNP_BCEC","Package_TO_SOT_SMD:SOT-223-3_TabPin2","~","","","","","~","PNP transistor, base/collector/emitter, collector connected to mounting plane","FZT753CT-ND","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","Diodes Inc","FZT753TA","","","","","","","","","https://www.digikey.com.au/product-detail/en/diodes-incorporated/FZT753TA/FZT753CT-ND/92847",""
"31","4","Q4, Q5, Q6, Q7","IRFB4110PBF","LIB_IRFB4110PBF:IRFB4110PBF","TO254P483X1016X1994-3P","","","","","","","MOSFET N-Ch 100V 180A HEXFET TO220AB Infineon IRFB4110PBF N-channel MOSFET Transistor, 180 A, 100 V, 3-Pin TO-220AB","","TO254P483X1016X1994-3P","4.83","Infineon","IRFB4110PBF","942-IRFB4110PBF","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/IRFB4110PBF?qs=9%252BKlkBgLFf1%2FkPV%252BuAP9EQ%3D%3D","","","","","","","",""
"32","16","R3, R4, R9, R10, R13, R15, R20, R21, R23, R24, R32, R47, R49, R50, R66, R69","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","~","Resistor","311-1.00KCRCT-ND","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-071KL","","","","","","","","","https://www.digikey.com/product-detail/en/yageo/RC0805FR-071KL/311-1.00KCRCT-ND/730391",""
"33","4","R5, R6, R7, R8","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","~","Resistor","13-RC1206FR-7W10KLTR-ND","Resistor_SMD:R_1206_3216Metric","","Yageo","RC1206FR-7W10KL","","","","","","","","","https://www.digikey.com/en/products/detail/yageo/RC1206FR-7W10KL/12698813",""
"34","4","R11, R12, R14, R16","33","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","~","Resistor","311-1.00KCRCT-ND","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-071KL","","","","","","","","","https://www.digikey.com/product-detail/en/yageo/RC0805FR-071KL/311-1.00KCRCT-ND/730391",""
"35","2","R17, R57","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","~","Resistor","311-10KARCT-ND","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805JR-0710KL","","","","","","","","","https://www.digikey.com/product-detail/en/yageo/RC0805JR-0710KL/311-10KARCT-ND/731188",""
"36","1","R27","604R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","~","Resistor","311-604CRCT-ND","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-07604RL","","","","","","","","1%","https://www.digikey.com/product-detail/en/yageo/RC0805FR-07604RL/311-604CRCT-ND/731022",""
"37","1","R28","3.88k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","~","Resistor","YAG4550CT-ND","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Yageo","RT0603BRD073K88L","","","","","","","","1%","https://www.digikey.com/product-detail/en/yageo/RT0603BRD073K88L/YAG4550CT-ND/6616706",""
"38","7","R29, R31, R35, R36, R42, R67, R68","470R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","~","Resistor","P470CCT-ND","Resistor_SMD:R_0805_2012Metric","","Panasonic","ERJ-6ENF4700V","","","","","","","","","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF4700V/P470CCT-ND/1746871",""
"39","1","R30","2.4k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","~","Resistor","311-2.40KCRCT-ND","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-072K4L","","","","","","","","","https://www.digikey.com/product-detail/en/yageo/RC0805FR-072K4L/311-2.40KCRCT-ND/730637",""
"40","2","R33, R34","2.49k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","~","Resistor","YAG1854CT-ND","Resistor_SMD:R_0805_2012Metric","","Yageo","RT0805BRD072K49L","","","","","","","","0.1%","https://www.digikey.com/product-detail/en/yageo/RT0805BRD072K49L/YAG1854CT-ND/5139302",""
"41","2","R37, R70","0","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","~","Resistor","P0.0ACT-ND","Resistor_SMD:R_0805_2012Metric","","Panasonic","ERJ-6GEY0R00V","","","","","","","","","https://www.digikey.com.au/product-detail/en/panasonic-electronic-components/ERJ-6GEY0R00V/P0-0ACT-ND/82955",""
"42","5","R38, R39, R43, R44, R51","180k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","~","Resistor","311-180KCRCT-ND","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-07180KL","","","","","","","","","https://www.digikey.com.au/product-detail/en/yageo/RC0805FR-07180KL/311-180KCRCT-ND/730597",""
"43","5","R40, R41, R45, R46, R52","348k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","~","Resistor","P348KCDKR-ND","Resistor_SMD:R_0805_2012Metric","","Panasonic","ERJ-6ENF3483V","","","","","","","","","https://www.digikey.com.au/product-detail/en/panasonic-electronic-components/ERJ-6ENF3483V/P348KCDKR-ND/576673",""
"44","6","R53, R54, R58, R59, R60, R61","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","~","Resistor","311-1.00KCRCT-ND","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Yageo","RC0805FR-071KL","","","","","","","","","https://www.digikey.com/product-detail/en/yageo/RC0805FR-071KL/311-1.00KCRCT-ND/730391",""
"45","6","R55, R56, R62, R63, R64, R65","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","~","Resistor","311-100KCRCT-ND","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Yageo","RC0805FR-07100KL","","","","","","","","","https://www.digikey.com/product-detail/en/yageo/RC0805FR-07100KL/311-100KCRCT-ND/730491",""
"46","2","SW1, SW2","SW_DPDT_x2","Switch:SW_SPDT","Misc:AYZ0202AGRLC","~","","","","","~","Switch, single pole double throw","401-2013-1-ND","Misc:AYZ0202AGRLC","","C & K COMPONENTS","AYZ0202AGRLC","","","","","","","","","https://www.digikey.com.au/product-detail/en/c-k/AYZ0202AGRLC/401-2013-1-ND/1640122",""
"47","1","SW3","SW_DIP_x02","Switch:SW_DIP_x02","Button_Switch_SMD:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W8.61mm_P2.54mm","~","","","","","~","2x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol","679-3566-1-ND","Button_Switch_SMD:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W8.61mm_P2.54mm","","APEM Inc.","IKN0204000","","","","","","","","","https://www.digikey.com.au/product-detail/en/apem-inc/IKN0204000/679-3566-1-ND/4384369",""
"48","1","SW4","SW_DPDT_x2","Misc:AYZ0202AGRLC","Misc:AYZ0202AGRLC","http://uk.rs-online.com/web/p/products/7931504P","","70417470","","","http://uk.rs-online.com/web/p/products/7931504P","AYZ0202AGRLC (Slide Switches)","401-2013-1-ND","Misc:AYZ0202AGRLC","","C & K COMPONENTS","AYZ0202AGRLC","","","7931504P","http://uk.rs-online.com/web/p/products/7931504P","","","","","https://www.digikey.com.au/product-detail/en/c-k/AYZ0202AGRLC/401-2013-1-ND/1640122",""
"49","1","U1","Teensy4.1","teensy:Teensy4.1","kicad:Teensy41","","","","","","","","","kicad:Teensy41","","","","","","","","","lib\teensy4.1.lbr","","","",""
"50","1","U3","74AHC1G32","74xGxx:74AHC1G32","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","","","","","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","Single OR Gate, Low-Voltage CMOS","296-8749-1-ND","Package_TO_SOT_SMD:SOT-353_SC-70-5","","Analog Devices","SN74AHC1G32DCKR","","","","","","","","","https://www.digikey.com.au/product-detail/en/texas-instruments/SN74AHC1G32DCKR/296-8749-1-ND/373812",""
"51","1","U4","ADXL343","Sensor_Motion:ADXL343","Package_LGA:LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y","https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL343.pdf","","","","","https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL343.pdf","3-Axis MEMS Accelerometer, 2/4/8/16g range, I2C/SPI, LGA-14","ADXL343BCCZ-RLCT-ND","Package_LGA:LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y","","Analog Devices","ADXL343BCCZ-RL","","","","","","","","","https://www.digikey.com.au/product-detail/en/analog-devices-inc/ADXL343BCCZ-RL/ADXL343BCCZ-RLCT-ND/7422311",""
"52","3","U5, U9, U16","TC4424A","IC_Automotive:TC4424A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","","","","","","","TC4424AVOA-ND","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Microchip","TC4424AVOA","","","","","","","","","https://www.digikey.com/product-detail/en/microchip-technology/TC4424AVOA/TC4424AVOA-ND/1098908",""
"53","1","U7","MC33810","IC_Automotive:MC33810","IC_Automotive:SOIC32-P0.65-33N","","","","","","","","","IC_Automotive:SOIC32-P0.65-33N","","NXP","MCZ33810EK","","","","","","","","","https://au.mouser.com/ProductDetail/NXP-Semiconductors/MCZ33810EK?qs=sGAEpiMZZMvKM5ialpXrmvfCXFdxx390",""
"54","2","U12, U14","LMV324LIDT","Amplifier_Operational:LMV324","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lmv324.pdf","","","","","http://www.ti.com/lit/ds/symlink/lmv324.pdf","Quad Low-Voltage Rail-to-Rail Output Operational Amplifier, SOIC-14/SSOP-14","497-13052-1-ND","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","STMicroelectronics","LMV324LIDT","","","","","","","","","https://www.digikey.com.au/product-detail/en/stmicroelectronics/LMV324LIDT/497-13052-1-ND/3458219",""
"55","1","U13","SP720","IC_Automotive:SP720","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://m.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp720_datasheet.pdf.pdf","","","","","https://m.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp720_datasheet.pdf.pdf","High Voltage, High Current Darlington Transistor Arrays, SOIC16W/TSSOP16","F3162CT-ND","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","Littelfuse","SP720ABTG","","","","","","","","","https://www.digikey.com/product-detail/en/littelfuse-inc/SP720ABTG/F3162CT-ND/1984458",""
"56","1","U15","MC33814","IC_Automotive:MC33814","Package_QFP:LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm_ThermalVias","","","","","","","","","Package_QFP:LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm_ThermalVias","","NXP","MC33814AE","","","","","","","","","http://au.element14.com/nxp/mc33814ae/ic-control-1-cylinder-engine-48lqfp/dp/2311285",""
"57","1","U17","W25Q32JVSS","Memory_Flash:W25Q32JVSS","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf","","","","","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf","32Mb Serial Flash Memory, Standard/Dual/Quad SPI, SOIC-8","W25Q32JVSSIQCT-ND","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","","Winbond Electronics","W25Q32JVSSIQ","","","","","","","","","https://www.digikey.com.au/product-detail/en/winbond-electronics/W25Q32JVSSIQ-TR/W25Q32JVSSIQCT-ND/7393546",""
