Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
R115,69.500mm,-131.000mm,Top,90.000000,R_0805_2012Metric,56k2
R116,85.000mm,-138.000mm,Top,90.000000,R_0805_2012Metric,162k
R117,72.500mm,-126.500mm,Top,0.000000,R_0805_2012Metric,53k6
R118,79.500mm,-135.500mm,Top,0.000000,R_0805_2012Metric,10k2
R119,70.500mm,-122.500mm,Top,90.000000,R_0805_2012Metric,13k
R120,80.500mm,-72.000mm,Top,0.000000,R_0805_2012Metric,470R
R121,128.000mm,-124.000mm,Top,90.000000,R_0805_2012Metric,2k2
R122,78.500mm,-76.500mm,Top,90.000000,R_0805_2012Metric,1k
R123,158.000mm,-136.500mm,Top,0.000000,R_0805_2012Metric,10k
R124,153.000mm,-129.500mm,Top,0.000000,R_0805_2012Metric,1k
R125,153.000mm,-136.500mm,Top,0.000000,R_0805_2012Metric,2k
R126,158.000mm,-129.500mm,Top,0.000000,R_0805_2012Metric,RC0805FR-071ML
R127,163.500mm,-122.000mm,Top,0.000000,R_0805_2012Metric,RC0805FR-07100KL
R128,163.500mm,-125.500mm,Top,0.000000,R_0805_2012Metric,RC0805FR-07100KL
R129,158.500mm,-140.000mm,Top,0.000000,R_0805_2012Metric,RC0805FR-07100KL
R130,166.500mm,-108.000mm,Top,90.000000,R_0805_2012Metric,RC0805FR-07100KL
R131,161.500mm,-84.000mm,Top,0.000000,R_0805_2012Metric,RC0805FR-071ML
R132,166.500mm,-83.500mm,Top,0.000000,R_0805_2012Metric,RC0805FR-071ML
TP1,150.000mm,-125.000mm,Top,0.000000,TestPoint_Pad_D1.5mm,TP_PROGRAM
TP2,150.500mm,-140.000mm,Top,0.000000,TestPoint_Pad_D1.5mm,TP_ON_OFF
U1,139.000mm,-112.080mm,Top,-90.000000,Teensy41,Teensy4.1
U2,156.000mm,-95.000mm,Top,90.000000,SOIC-8_5.3x5.3mm_P1.27mm,W25Q32JVSS
U3,151.500mm,-86.000mm,Top,90.000000,SOIC-8_3.9x4.9mm_P1.27mm,MCP2562-E-SN
U4,125.000mm,-120.000mm,Top,-90.000000,SOT-353_SC-70-5,74AHC1G32
U5,123.500mm,-124.000mm,Top,-90.000000,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,ADXL343
U6,169.500mm,-55.500mm,Top,90.000000,SOT-23-6,USBLC6-2SC6
U7,198.765mm,-89.100mm,Top,-90.000000,SOIC32-P0.65-33N,MC33810
U8,189.000mm,-93.000mm,Top,0.000000,SOT-23-5,TPS3823-33DBV
U9,169.656mm,-88.224mm,Top,0.000000,SOT-353_SC-70-5,74LVC1G00
U10,102.500mm,-87.500mm,Top,90.000000,SOIC-14_3.9x8.7mm_P1.27mm,LMV324
U11,120.475mm,-106.609mm,Top,0.000000,SOIC-14_3.9x8.7mm_P1.27mm,LMV324
U12,123.000mm,-42.250mm,Top,0.000000,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm_ThermalVias,DRV8434A
U13,205.500mm,-107.000mm,Top,90.000000,TO-252-5_TabPin3,BTF3050TE
U14,173.000mm,-108.000mm,Top,90.000000,TO-252-5_TabPin3,BTF3050TE
U15,78.500mm,-95.000mm,Top,0.000000,SOT-23-6,LM74700-Q1
U16,78.500mm,-129.500mm,Top,90.000000,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,TPS54360B-Q1
U17,91.000mm,-135.500mm,Top,90.000000,SOT-223-3_TabPin2,TPS7B6950-Q1
U18,162.000mm,-118.000mm,Top,90.000000,SOT-353_SC-70-5,74LVC1G125
Y1,155.500mm,-125.500mm,Top,90.000000,Resonator_SMD_Murata_CSTCR_4.5x2x1.15mm,CSTCR4M00G53-R0
