Line#,Qty,Designator,MPN,Manufacturer,Description,Package,Type,Supplier,Supplier Part Number,Notes
38,4,"D15,D8,D14,D9",LTST-C170KRKT,Lite-On,LED rot 0805,0805,SMD,DigiKey,160-1415-1-ND,
39,1,D22,1SMA5914BT3G,onsemi,Z-Diode 3.6V 1.5W SMA,SMA,SMD,DigiKey,1SMA5914BT3GOSCT-ND,
40,20,"D30,D27,D26,D28,D29,D7,D4,D5,D6,D20,D19,D25,D24,D23,D17,D16,D18,D21,D46,D47",BAV199LT1G,onsemi,Doppel-Klemmdiode BAV199 SOT-23,SOT-23,SMD,DigiKey,BAV199LT1GOSCT-ND,
41,8,"D31,D35,D40,D34,D36,D32,D33,D39",B340A-13-F,Diodes Incorporated,Schottky 3A 40V SMA,SMA,SMD,DigiKey,B340A-FDICT-ND,Ersatz fuer SS34: 3A/40V Schottky in SMA (SS34 meist SMC)
42,2,"D38,D37",1N4148W-7-F,Diodes Incorporated,Schaltdiode 1N4148W SOD-123,SOD-123,SMD,DigiKey,1N4148W-FDICT-ND,
43,1,D41,SM8S24A,SMC Diode Solutions,TVS 24V 6600W Load-Dump DO-218AB,DO-218AB,SMD,DigiKey,1655-SM8S24ACT-ND,
44,1,D42,B560C-13-F,Diodes Incorporated,Schottky 5A 60V SMC,SMC,SMD,DigiKey,B560C-FDICT-ND,
45,3,"D43,D44,D45",LTST-C170GKT,Lite-On,LED grün 0805,0805,SMD,DigiKey,160-1179-1-ND,
46,1,F1,1812L014DR,Littelfuse,PTC-Sicherung 140mA hold 60V 1812,1812,SMD,DigiKey,F3353CT-ND,"PTC 140mA hold (naechster Standardwert zu 150mA), 60V"
47,1,F2,0483003.DR,Littelfuse,Sicherung 3A 65V flink 1206,1206,SMD,DigiKey,18-0483003.DRCT-ND,3A/65V flink 1206 (63V-Anforderung: 437er-Serie schafft nur 35V)
48,1,IC1,MAX9926UAEE/V+,Analog Devices,MAX9926UAEE_V+,QSOP-16_3.9x4.9mm_P0.635mm,SMD,DigiKey,MAX9926UAEE/V+-ND,
49,3,"IC3,IC4,IC2",ZXMS6006DT8TA,Diodes Incorporated,ZXMS6006DT8,SOT153P700X170-8N,SMD,DigiKey,ZXMS6006DT8TADICT-ND,Last Time Buy 06.01.2027 - Bedarf sichern
50,1,IC5,LD1117S33CTR,STMicroelectronics,LD1117S33,SOT-223-3_TabPin2,SMD,DigiKey,497-1241-1-ND,
51,1,IC6,74AHCT125T14-13,Diodes Incorporated,74AHCT125T14-13,TSSOP-14_4.4x5mm_P0.65mm,SMD,DigiKey,31-74AHCT125T14-13CT-ND,
52,1,IC7,TPIC8101DWR,Texas Instruments,TPIC8101DW,SOIC-20W_7.5x12.8mm_P1.27mm,SMD,DigiKey,296-15132-1-ND,
53,1,J1,61300411121,Würth Elektronik,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,THT,DigiKey,732-5317-ND,
